InputID,TargetID,Distance
n150938939,"0",224032.424864011
n150939853,"0",38408.220199869
n150939853,"1",38408.220199869
n150941879,"0",228925.53493247
n150941879,"1",228925.53493247
n150942402,"0",313712.441008164
n150942402,"1",313712.441008164
n150942990,"0",339007.489133313
n150942990,"1",339007.489133313
n150943852,"0",76327.543742277
n150943852,"1",76327.543742277
n150944964,"0",72184.0842223483
n150944964,"1",72184.0842223483
n150946345,"1",219941.297081824
n150946345,"0",219941.297081824
n150946706,"0",74462.8652704742
n150946706,"1",74462.8652704742
n150947378,"0",169602.746484872
n150947378,"1",169602.746484872
n150947906,"0",257777.673541138
n150947906,"1",257777.673541138
n150949113,"0",316819.541731247
n150949113,"1",316819.541731247
n150949475,"0",303165.938632625
n150949475,"1",303165.938632625
n150950777,"1",198414.393334869
n150950777,"0",198414.393334869
n150950782,"0",78408.3216672333
n150950782,"1",78408.3216672333
n150950836,"0",86467.274953595
n150950836,"1",86467.274953595
n150951224,"1",115613.027538528
n150951224,"0",115613.027538528
n150953106,"0",85036.1185346732
n150953106,"1",85036.1185346732
n150953157,"0",107080.679153754
n150953157,"1",107080.679153754
n150953279,"0",181195.107577959
n150953279,"1",181195.107577959
n150955102,"1",96296.6489045586
n150955102,"0",96296.6489045586
n150956306,"0",222066.631831436
n150956306,"1",222066.631831436
n150959022,"0",314654.332978782
n150959022,"1",314654.332978782
n150959273,"0",48627.9288268711
n150959273,"1",48627.9288268711
n150959696,"0",306402.960388469
n150959696,"1",306402.960388469
n150959789,"0",121703.181094149
n150959789,"1",121703.181094149
n150959795,"0",206020.194930021
n150959795,"1",206020.194930021
n150960561,"0",193455.95327337
n150960561,"1",193455.95327337
n150961686,"0",71364.7884561058
n150961686,"1",71364.7884561058
n150963006,"1",121951.788482746
n150963006,"0",121951.788482746
n150963377,"1",214109.179728325
n150963377,"0",214109.179728325
n150963509,"0",350974.678251338
n150963509,"1",350974.678251338
n150963981,"0",323838.43265605
n150963981,"1",323838.43265605
n150964497,"0",233412.230378165
n150964497,"1",233412.230378165
n150964675,"1",197582.949405052
n150964675,"0",197582.949405052
n150965207,"1",251667.621473493
n150965207,"0",251667.621473493
n150965508,"0",110907.158783962
n150965508,"1",110907.158783962
n150966332,"1",217166.60758899
n150966332,"0",217166.60758899
n150970113,"0",297508.696332008
n150970113,"1",297508.696332008
n150972387,"0",53888.8733294288
n150972387,"1",53888.8733294288
n150972487,"1",177905.47840843
n150972487,"0",177905.47840843
n150973333,"0",289670.831198326
n150973333,"1",289670.831198326
n150974198,"1",201091.348006548
n150974198,"0",201091.348006548
n150976291,"1",135839.785878189
n150976291,"0",135839.785878189
n150976701,"1",116168.380935414
n150976701,"0",116168.380935414
n150977729,"0",279214.713798773
n150977729,"1",279214.713798773
n150978158,"0",348858.260116409
n150978158,"1",348858.260116409
n150979479,"0",152413.826066568
n150979479,"1",152413.826066568
n150979583,"1",158385.868724071
n150979583,"0",158385.868724071
n150980416,"0",90210.5056895972
n150980416,"1",90210.5056895972
n150980683,"1",204928.939839407
n150980683,"0",204928.939839407
n150981381,"1",205154.19939805
n150981381,"0",205154.19939805
n165609080,"0",285129.234202343
n165609080,"1",285129.234202343
n268547460,"0",327901.693550158
n268547460,"1",327901.693550158
n276375232,"1",128058.989626416
n276375232,"0",128058.989626416
n277184130,"0",339450.030280843
n277184130,"1",339450.030280843
n289641874,"1",214821.253472834
n289641874,"0",214821.253472834
n312414863,"0",336220.646658363
n312414863,"1",336220.646658363
n368171806,"0",90661.2787794268
n368171806,"1",90661.2787794268
n368171820,"0",151985.943597112
n368171820,"1",151985.943597112
n368171839,"1",214195.151839842
n368171839,"0",214195.151839842
n373126008,"1",98176.79989201
n373126008,"0",98176.79989201
n373511630,"0",325354.503706674
n373511630,"1",325354.503706674
n373535107,"0",343255.508665583
n373535107,"1",343255.508665583
n373566349,"0",340869.280730405
n373566349,"1",340869.280730405
n373568348,"0",335368.505338173
n373568348,"1",335368.505338173
n373569646,"0",324421.112163469
n373569646,"1",324421.112163469
n373670355,"1",213361.790173393
n373670355,"0",213361.790173393
n373670421,"1",213392.249649458
n373670421,"0",213392.249649458
n373670424,"1",213253.305924119
n373670424,"0",213253.305924119
n373670425,"1",213235.731487798
n373670425,"0",213235.731487798
n373670428,"1",213119.855403695
n373670428,"0",213119.855403695
n373670430,"1",213146.612055106
n373670430,"0",213146.612055106
n373805185,"1",107229.627255255
n373805185,"0",107229.627255255
n373828762,"1",249079.261940138
n373828762,"0",249079.261940138
n373834394,"1",249604.396811106
n373834394,"0",249604.396811106
n373835550,"1",232793.347349132
n373835550,"0",232793.347349132
n373836600,"1",225317.231612063
n373836600,"0",225317.231612063
n373836706,"1",225391.143836776
n373836706,"0",225391.143836776
n373862205,"1",120659.366793845
n373862205,"0",120659.366793845
n373879304,"0",77991.3027600976
n373879304,"1",77991.3027600976
n373894707,"0",82360.7749153793
n373894707,"1",82360.7749153793
n373991535,"0",182613.364753121
n373991535,"1",182613.364753121
n374103492,"0",308878.176714488
n374103492,"1",308878.176714488
n374103508,"0",309228.374492383
n374103508,"1",309228.374492383
n374105260,"0",312106.33887269
n374105260,"1",312106.33887269
n374107740,"0",304772.039747969
n374107740,"1",304772.039747969
n374108995,"0",302775.147874882
n374108995,"1",302775.147874882
n374109400,"0",304031.494331216
n374109400,"1",304031.494331216
n374111900,"0",303614.211559069
n374111900,"1",303614.211559069
n374122177,"1",90400.7337396231
n374122177,"0",90400.7337396231
n374257296,"0",109556.684718296
n374257296,"1",109556.684718296
n374916044,"0",180069.299666953
n374916044,"1",180069.299666953
n431978878,"0",303605.971566208
n431978878,"1",303605.971566208
n636448298,"1",212892.588836241
n636448298,"0",212892.588836241
n1006153755,"0",97836.8920256587
n1006153755,"1",97836.8920256587
n1055174257,"1",222422.462783311
n1055174257,"0",222422.462783311
n1255547536,"0",189767.733307648
n1255547536,"1",189767.733307648
n1256009408,"0",183074.315058522
n1256009408,"1",183074.315058522
n1270688265,"1",89594.8013791612
n1270688265,"0",89594.8013791612
n1282343985,"1",104750.599571788
n1282343985,"0",104750.599571788
n1282385409,"0",343264.580419103
n1282385409,"1",343264.580419103
n1282385410,"0",343265.124446147
n1282385410,"1",343265.124446147
n1429174154,"0",324974.473712311
